위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.526419,33.241078,공원/산/동.식물원,스모르공원
126.521594,33.243503,문화/종교/예술,용문사
126.529756,33.241378,관광/숙박,서귀포오션리조트
126.532131,33.241778,관광/숙박,서귀포해안성민박
126.530719,33.240962,관광/숙박,바닷가리조트
126.523932,33.245703,관광/숙박,화이트캐슬펜션
126.51257,33.251185,문화/종교/예술,신서귀포재림교회
126.499708,33.260917,레져/스포츠,한국야구명예의전당
126.501808,33.260318,레져/스포츠,강창학종합경기장
126.523744,33.257077,문화/종교/예술,서호장로교회
126.536893,33.250494,관광/숙박,서귀포귤림성
126.53638,33.250311,문화/종교/예술,석부작박물관
126.559041,33.239496,관광/숙박,서귀포잠수함
126.563541,33.241187,관광/숙박,백호모텔
126.563753,33.241012,관광/숙박,폭포장모텔
126.564516,33.241646,관광/숙박,동연장
126.566041,33.241412,관광/숙박,만부장여관
126.563091,33.241396,관광/숙박,뉴서울모텔
126.563353,33.242479,관광/숙박,유락장
126.562966,33.243295,관광/숙박,우성모텔
126.562391,33.244054,관광/숙박,제주하이킹인호스텔
126.562353,33.244654,관광/숙박,신세계호텔
126.562091,33.244162,관광/숙박,나포리호텔
126.563053,33.243987,문화/종교/예술,천주교서귀포교회
126.564866,33.245795,문화/종교/예술,이중섭미술관
126.56589,33.24702,관광/숙박,만평장모텔
126.566428,33.246687,문화/종교/예술,서귀포중앙교회
126.568665,33.246962,관광/숙박,서울여관
126.565815,33.246778,관광/숙박,굿인호텔
126.56619,33.247895,문화/종교/예술,서귀포새생명교회
126.564566,33.24652,레져/스포츠,제주지방우정청서귀포수련원
126.564766,33.24757,관광/숙박,금우장모텔
126.563366,33.247037,레져/스포츠,원남볼링장
126.554691,33.249828,공원/산/동.식물원,걸매생활체육공원
126.552942,33.249203,문화/종교/예술,열방교회
126.558454,33.24677,관광/숙박,뉴경남관광호텔
126.559416,33.246995,관광/숙박,한두모텔
126.560203,33.246145,관광/숙박,호텔썬비치
126.556629,33.247703,관광/숙박,강남모텔
126.557229,33.24737,관광/숙박,천호각모텔
